id,rateCount,rating
1,25,4.92
2,25,5.28
3,25,5.0
4,25,3.6
5,25,2.84
6,25,3.52
7,25,4.16
8,25,4.44
9,25,4.88
10,25,5.12
11,25,5.48
12,24,5.0
13,24,3.5833333333333335
14,24,2.75
15,24,4.083333333333333
16,24,3.875
17,24,4.583333333333333
18,24,4.875
19,24,5.291666666666667
20,24,5.416666666666667
21,24,6.541666666666667
22,24,5.416666666666667
23,24,2.0833333333333335
24,24,3.25
25,24,3.75
26,24,3.9166666666666665
27,24,4.583333333333333
28,24,5.291666666666667
29,24,5.166666666666667
30,24,4.833333333333333
31,24,5.041666666666667
32,24,4.75
33,24,3.8333333333333335
34,24,3.5833333333333335
35,24,4.0
36,24,4.125
37,24,5.333333333333333
38,24,4.833333333333333
39,24,4.75
40,24,5.333333333333333
41,24,5.416666666666667
42,24,5.25
43,24,4.541666666666667
44,24,3.375
45,24,3.125
46,24,3.2083333333333335
47,24,4.625
48,24,4.208333333333333
49,24,4.25
50,24,4.416666666666667
51,24,5.625
52,24,5.291666666666667
53,24,3.0416666666666665
54,24,4.083333333333333
55,24,4.25
56,24,3.7083333333333335
57,24,4.916666666666667
58,24,4.541666666666667
59,24,3.9583333333333335
60,24,4.041666666666667
61,24,5.375
62,24,4.916666666666667
63,24,3.125
64,24,4.458333333333333
65,24,3.3333333333333335
66,24,3.6666666666666665
67,24,4.875
68,24,4.458333333333333
69,24,4.916666666666667
70,24,5.291666666666667
71,24,4.625
72,24,4.75
73,24,4.625
74,24,4.583333333333333
75,24,3.8333333333333335
76,24,2.625
77,24,4.5
78,24,4.5
79,24,4.541666666666667
80,24,4.708333333333333
81,24,6.25
82,24,5.875
83,24,3.6666666666666665
84,24,3.3333333333333335
85,24,3.4583333333333335
86,24,3.4166666666666665
87,24,3.9583333333333335
88,24,5.375
89,24,4.5
90,24,4.958333333333333
91,24,5.708333333333333
92,24,4.833333333333333
93,24,3.6666666666666665
94,24,3.5416666666666665
95,24,4.0
96,24,3.0
97,24,5.125
98,24,5.416666666666667
99,24,5.166666666666667
100,24,5.333333333333333
