id,rateCount,rating
1,24,5.0
2,25,5.28
3,25,5.0
4,25,3.6
5,25,2.84
6,25,3.52
7,25,4.16
8,25,4.44
9,25,4.88
10,24,5.041666666666667
11,25,5.48
12,24,5.0
13,24,3.5833333333333335
14,24,2.75
15,24,4.083333333333333
16,24,3.875
17,24,4.583333333333333
18,24,4.875
19,24,5.291666666666667
20,24,5.416666666666667
21,24,6.541666666666667
22,24,5.416666666666667
23,24,2.0833333333333335
24,24,3.25
25,24,3.75
26,24,3.9166666666666665
27,24,4.583333333333333
28,24,5.291666666666667
29,24,5.166666666666667
30,24,4.833333333333333
31,24,5.041666666666667
32,24,4.75
33,24,3.8333333333333335
34,24,3.5833333333333335
35,24,4.0
36,24,4.125
37,24,5.333333333333333
38,24,4.833333333333333
39,24,4.75
40,24,5.333333333333333
41,24,5.416666666666667
42,24,5.25
43,24,4.541666666666667
44,23,3.391304347826087
45,23,3.1739130434782608
46,23,3.217391304347826
47,23,4.608695652173913
48,23,4.217391304347826
49,23,4.260869565217392
50,23,4.434782608695652
51,23,5.565217391304348
52,22,5.2272727272727275
53,23,3.130434782608696
54,23,4.217391304347826
55,23,4.391304347826087
56,23,3.8260869565217392
57,23,5.086956521739131
58,23,4.695652173913044
59,23,4.086956521739131
60,23,4.173913043478261
61,23,5.565217391304348
62,23,5.086956521739131
63,23,3.217391304347826
64,23,4.434782608695652
65,23,3.4347826086956523
66,23,3.782608695652174
67,23,4.956521739130435
68,23,4.608695652173913
69,23,5.086956521739131
70,23,5.304347826086956
71,23,4.782608695652174
72,23,4.869565217391305
73,22,4.863636363636363
74,23,4.739130434782608
75,23,3.9130434782608696
76,23,2.6956521739130435
77,23,4.608695652173913
78,23,4.6521739130434785
79,23,4.565217391304348
80,23,4.869565217391305
81,23,6.391304347826087
82,23,5.869565217391305
83,24,3.6666666666666665
84,24,3.3333333333333335
85,22,3.5
86,24,3.4166666666666665
87,24,3.9583333333333335
88,24,5.375
89,24,4.5
90,24,4.958333333333333
91,24,5.708333333333333
92,24,4.833333333333333
93,24,3.6666666666666665
94,24,3.5416666666666665
95,24,4.0
96,24,3.0
97,24,5.125
98,24,5.416666666666667
99,24,5.166666666666667
100,24,5.333333333333333
